"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2018","     9500.20","     9518.90","     9421.70","     9434.50","     2171735968","        22625.76"
"02-Jan-2018","     9474.10","     9487.80","     9377.30","     9417.85","     2065375329","        25787.49"
"03-Jan-2018","     9455.55","     9483.35","     9424.10","     9439.35","     1576728062","        26590.52"
"04-Jan-2018","     9468.10","     9511.85","     9441.90","     9505.75","     1874416120","        28786.25"
"05-Jan-2018","     9536.75","     9577.30","     9529.95","     9573.45","     2006289691","        31475.27"
"08-Jan-2018","     9608.15","     9645.75","     9606.50","     9639.25","     1577796110","        29971.89"
"09-Jan-2018","     9661.10","     9669.45","     9607.70","     9640.75","     1590169011","        29096.27"
"10-Jan-2018","     9655.75","     9658.80","     9593.50","     9630.60","     1557613787","        29338.81"
"11-Jan-2018","     9635.90","     9669.30","     9614.65","     9650.30","     1385662650","        28407.94"
"12-Jan-2018","     9681.85","     9689.75","     9583.20","     9665.20","     1648586794","        30735.84"
"15-Jan-2018","     9700.95","     9743.65","     9690.90","     9699.85","     1341829208","        27703.28"
"16-Jan-2018","     9720.10","     9720.35","     9598.05","     9612.60","     1658788331","        32000.04"
"17-Jan-2018","     9612.10","     9696.40","     9536.20","     9686.60","     1740052244","        33074.71"
"18-Jan-2018","     9761.10","     9769.80","     9605.40","     9646.80","     1796086424","        37384.18"
"19-Jan-2018","     9658.40","     9733.50","     9625.10","     9723.10","     1306864004","        29068.05"
"22-Jan-2018","     9721.45","     9793.40","     9710.95","     9787.30","     1266204411","        31599.24"
"23-Jan-2018","     9816.40","     9885.25","     9814.65","     9877.20","     1514186830","        37693.35"
"24-Jan-2018","     9865.70","     9895.00","     9825.25","     9853.90","     1370955781","        37908.92"
"25-Jan-2018","     9866.85","     9866.85","     9780.35","     9810.00","     1641340147","        41723.48"
"29-Jan-2018","     9829.00","     9868.40","     9806.05","     9819.45","     1145846658","        31393.93"
"30-Jan-2018","     9809.95","     9810.00","     9729.15","     9743.05","     1365727226","        29546.92"
"31-Jan-2018","     9716.70","     9746.05","     9648.15","     9697.90","     1261966039","        33152.25"
"01-Feb-2018","     9717.30","     9764.35","     9551.55","     9687.05","     1440471757","        36921.88"
"02-Feb-2018","     9606.10","     9611.35","     9392.90","     9409.80","     1886182270","        42875.72"
"05-Feb-2018","     9254.55","     9367.55","     9221.05","     9344.40","     1468748844","        33313.72"
"06-Feb-2018","     8985.80","     9265.90","     8968.50","     9190.55","     1543401650","        35661.14"
"07-Feb-2018","     9300.15","     9306.80","     9181.70","     9206.35","     1238961894","        29997.76"
"08-Feb-2018","     9246.05","     9365.75","     9220.35","     9322.60","     1231116102","        29125.53"
"09-Feb-2018","     9167.00","     9272.05","     9155.00","     9251.10","     1175715193","        26370.11"
"12-Feb-2018","     9314.30","     9362.30","     9296.60","     9348.45","     1206344529","        26678.86"
"14-Feb-2018","     9397.80","     9399.80","     9292.85","     9326.70","     1388569834","        30149.22"
"15-Feb-2018","     9360.45","     9399.40","     9293.35","     9323.60","     1247763594","        28020.57"
"16-Feb-2018","     9369.25","     9386.00","     9212.20","     9235.60","     1141022586","        25689.17"
"19-Feb-2018","     9265.00","     9265.25","     9091.75","     9159.95","     1198868597","        25429.48"
"20-Feb-2018","     9171.20","     9207.35","     9135.70","     9151.05","     1058005168","        23474.64"
"21-Feb-2018","     9205.10","     9205.40","     9129.35","     9167.60","      988130044","        25847.37"
"22-Feb-2018","     9133.90","     9160.60","     9119.30","     9138.50","     1341924549","        34065.30"
"23-Feb-2018","     9165.45","     9257.50","     9157.10","     9251.35","     1221133270","        28534.37"
"26-Feb-2018","     9291.05","     9338.20","     9280.80","     9332.65","     1210833249","        25452.13"
"27-Feb-2018","     9360.90","     9374.90","     9289.25","     9302.25","     1164669549","        25029.00"
"28-Feb-2018","     9244.50","     9290.20","     9213.85","     9261.90","     1396255082","        32665.91"
"01-Mar-2018","     9254.40","     9297.40","     9215.80","     9225.35","     1034789604","        23673.80"
"05-Mar-2018","     9202.10","     9202.20","     9104.15","     9136.10","     1138805061","        25369.04"
"06-Mar-2018","     9191.45","     9214.45","     9013.45","     9039.80","     1189843238","        26830.54"
"07-Mar-2018","     9025.10","     9029.95","     8924.70","     8936.85","     1460121772","        27663.02"
"08-Mar-2018","     8992.40","     9021.65","     8898.90","     9000.70","     1399984518","        27068.10"
"09-Mar-2018","     9032.55","     9051.40","     8972.50","     8986.40","-","-"
