"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2012","     3606.40","     3615.10","     3568.75","     3602.50","      386110065","         5506.70"
"03-Jan-2012","     3623.85","     3705.20","     3623.85","     3700.80","      463108618","         7662.35"
"04-Jan-2012","     3706.05","     3717.90","     3681.75","     3695.05","      494875327","         8732.43"
"05-Jan-2012","     3694.70","     3718.75","     3682.50","     3696.15","      468604285","         8599.39"
"06-Jan-2012","     3682.05","     3720.95","     3651.10","     3694.80","      482375733","         8151.99"
"07-Jan-2012","     3695.65","     3701.65","     3693.65","     3697.70","       71915987","          885.39"
"09-Jan-2012","     3698.05","     3710.65","     3664.40","     3701.30","      492131622","         7317.33"
"10-Jan-2012","     3717.10","     3790.35","     3717.10","     3785.35","      619932483","         9899.87"
"11-Jan-2012","     3792.80","     3816.20","     3785.30","     3805.50","      689893048","        10812.00"
"12-Jan-2012","     3794.60","     3822.50","     3775.80","     3797.40","      632588767","        11442.98"
"13-Jan-2012","     3814.10","     3850.90","     3806.70","     3827.20","      739817284","        11392.11"
"16-Jan-2012","     3815.25","     3836.95","     3798.65","     3833.15","      550717771","         8698.43"
"17-Jan-2012","     3849.95","     3907.80","     3849.95","     3900.00","      654534906","        11273.20"
"18-Jan-2012","     3905.75","     3910.20","     3868.25","     3881.80","      675145264","        11534.63"
"19-Jan-2012","     3903.45","     3934.55","     3903.45","     3931.95","      638065185","        10957.53"
"20-Jan-2012","     3946.45","     3963.10","     3922.50","     3952.70","      727481557","        12990.18"
"23-Jan-2012","     3940.00","     3968.20","     3939.40","     3952.70","      561305352","         9680.76"
"24-Jan-2012","     3962.85","     4026.10","     3955.45","     4016.90","      798607410","        13599.16"
"25-Jan-2012","     4030.05","     4058.05","     4025.70","     4051.80","      844186335","        14502.22"
"27-Jan-2012","     4083.65","     4090.25","     4059.60","     4085.35","      729834929","        12945.67"
"30-Jan-2012","     4062.95","     4062.95","     3987.95","     3995.80","      672570522","        11066.31"
"31-Jan-2012","     4016.50","     4092.70","     4016.50","     4082.85","      683423858","        12999.13"
"01-Feb-2012","     4082.25","     4122.25","     4062.25","     4117.55","      823561520","        13563.93"
"02-Feb-2012","     4137.40","     4163.00","     4109.25","     4146.55","     1029191245","        17771.88"
"03-Feb-2012","     4149.90","     4194.55","     4139.25","     4188.45","      727683167","        12917.82"
"06-Feb-2012","     4217.75","     4251.50","     4202.00","     4227.10","      871202550","        14098.76"
"07-Feb-2012","     4255.00","     4255.00","     4189.50","     4199.05","      748794848","        13090.92"
"08-Feb-2012","     4203.90","     4251.50","     4199.55","     4232.75","      804364056","        15540.77"
"09-Feb-2012","     4219.20","     4277.85","     4219.20","     4272.40","      869566977","        14763.29"
"10-Feb-2012","     4265.55","     4294.55","     4225.60","     4258.40","      858129322","        13858.33"
"13-Feb-2012","     4258.55","     4281.70","     4237.35","     4264.80","      655027527","        11917.05"
"14-Feb-2012","     4259.55","     4296.00","     4259.55","     4289.50","      828715017","        12291.82"
"15-Feb-2012","     4313.90","     4388.50","     4313.90","     4381.45","     1163545145","        17522.07"
"16-Feb-2012","     4371.45","     4392.55","     4354.30","     4385.90","     1083704720","        15930.43"
"17-Feb-2012","     4414.50","     4454.60","     4399.65","     4414.05","     1293079153","        19715.85"
"21-Feb-2012","     4412.80","     4456.45","     4412.80","     4447.50","      978134550","        14920.53"
"22-Feb-2012","     4449.00","     4465.25","     4329.85","     4340.85","     1161119694","        17636.88"
"23-Feb-2012","     4332.40","     4360.55","     4294.35","     4322.90","     1129166754","        17567.29"
"24-Feb-2012","     4320.65","     4355.50","     4265.45","     4284.55","      947303012","        22939.35"
"27-Feb-2012","     4294.80","     4294.80","     4156.75","     4165.05","      790952050","        12791.16"
"28-Feb-2012","     4181.15","     4264.65","     4181.15","     4258.50","      775563569","        13204.33"
"29-Feb-2012","     4285.65","     4325.45","     4242.80","     4275.55","      869183745","        14700.88"
"01-Mar-2012","     4265.05","     4265.05","     4215.40","     4243.75","      789914346","        12435.88"
"02-Mar-2012","     4260.00","     4285.05","     4229.05","     4254.50","      700324378","        11971.85"
"03-Mar-2012","     4254.80","     4261.75","     4254.00","     4256.00","       96540424","         1103.58"
"05-Mar-2012","     4246.85","     4246.85","     4186.55","     4195.45","      603874968","        10101.24"
"06-Mar-2012","     4187.60","     4270.45","     4140.85","     4151.40","      806155511","        14293.37"
"07-Mar-2012","     4143.00","     4164.45","     4110.90","     4146.95","      700652773","        11699.44"
"09-Mar-2012","     4187.15","     4243.15","     4187.15","     4238.85","      638260198","        11667.30"
"12-Mar-2012","     4286.25","     4286.25","     4240.00","     4265.25","      669295340","        12443.50"
"13-Mar-2012","     4282.60","     4323.80","     4282.60","     4317.65","      707585037","        11421.69"
"14-Mar-2012","     4351.15","     4365.50","     4323.15","     4343.05","      700398431","        12941.84"
"15-Mar-2012","     4342.20","     4342.20","     4262.65","     4275.75","      687409807","        11365.70"
"16-Mar-2012","     4275.75","     4322.05","     4219.40","     4226.05","      891198871","        15349.12"
"19-Mar-2012","     4236.70","     4236.70","     4162.65","     4177.00","      583767185","         9890.47"
"20-Mar-2012","     4177.05","     4210.20","     4161.90","     4197.05","      577371955","        10476.56"
"21-Mar-2012","     4192.90","     4276.30","     4184.75","     4270.90","      662927927","        11957.86"
"22-Mar-2012","     4268.80","     4291.05","     4154.00","     4165.30","      790801835","        12902.85"
"23-Mar-2012","     4180.15","     4223.55","     4157.70","     4202.25","      595174197","        10732.45"
"26-Mar-2012","     4200.15","     4200.15","     4125.90","     4131.25","      599015985","         9756.42"
"27-Mar-2012","     4163.50","     4190.15","     4131.70","     4168.55","      669751926","        12116.59"
"28-Mar-2012","     4162.25","     4162.65","     4112.80","     4129.15","      572681665","         9975.09"
"29-Mar-2012","     4102.40","     4132.50","     4089.75","     4124.45","      784677707","        14014.39"
"30-Mar-2012","     4139.65","     4226.65","     4139.65","     4221.80","      622592565","        11102.76"
"02-Apr-2012","     4222.20","     4257.10","     4219.95","     4246.95","      503743720","         8595.47"
"03-Apr-2012","     4266.25","     4295.60","     4266.25","     4283.10","      545736907","         9658.13"
"04-Apr-2012","     4266.70","     4272.30","     4246.85","     4262.20","      474005445","         8057.28"
"09-Apr-2012","     4240.05","     4240.05","     4189.40","     4193.90","      421142474","         7079.61"
"10-Apr-2012","     4204.75","     4207.40","     4172.15","     4196.70","      544499391","         9812.03"
"11-Apr-2012","     4177.90","     4210.00","     4161.80","     4179.40","      547708958","        10200.30"
"12-Apr-2012","     4190.30","     4227.90","     4190.30","     4216.55","      526109098","         9779.28"
