"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2018","    21177.95","    21309.85","    21065.95","    21109.80","      932486849","         7043.15"
"02-Jan-2018","    21204.20","    21232.75","    20831.55","    20959.70","      839881753","         7187.52"
"03-Jan-2018","    21027.50","    21173.20","    21022.50","    21101.30","      641039063","         7301.50"
"04-Jan-2018","    21181.10","    21327.90","    21111.85","    21308.35","      883407369","         8557.62"
"05-Jan-2018","    21375.30","    21522.60","    21365.40","    21499.85","      855115666","         8900.94"
"08-Jan-2018","    21581.05","    21740.00","    21573.25","    21719.05","      625542074","         8069.15"
"09-Jan-2018","    21773.05","    21785.60","    21600.95","    21693.40","      669555167","         7805.33"
"10-Jan-2018","    21725.95","    21782.60","    21548.25","    21662.25","      561050859","         7786.03"
"11-Jan-2018","    21667.80","    21804.00","    21623.45","    21719.20","      529597327","         7937.74"
"12-Jan-2018","    21801.30","    21826.00","    21470.95","    21694.55","      559865675","         8028.28"
"15-Jan-2018","    21771.90","    21840.85","    21664.90","    21697.35","      475685445","         5919.11"
"16-Jan-2018","    21733.20","    21744.10","    21223.45","    21297.25","      651912740","         7421.29"
"17-Jan-2018","    21277.85","    21542.95","    20944.95","    21516.45","      713137215","         7699.52"
"18-Jan-2018","    21678.45","    21707.30","    20952.45","    21098.00","      709877239","         8331.89"
"19-Jan-2018","    21129.35","    21341.35","    21005.95","    21308.80","      505789758","         8009.18"
"22-Jan-2018","    21347.00","    21522.75","    21258.65","    21507.50","      355340573","         7833.85"
"23-Jan-2018","    21587.75","    21771.15","    21580.80","    21731.80","      613527371","         9838.05"
"24-Jan-2018","    21720.95","    21783.55","    21564.25","    21637.05","      477547549","         9351.87"
"25-Jan-2018","    21703.45","    21719.85","    21437.75","    21455.75","      689236692","        11147.96"
"29-Jan-2018","    21532.70","    21580.60","    21247.35","    21272.85","      422844814","         7487.62"
"30-Jan-2018","    21245.90","    21251.10","    21012.50","    21102.50","      606983863","         7520.77"
"31-Jan-2018","    21014.15","    21077.95","    20649.85","    20785.20","      478776244","         8479.31"
"01-Feb-2018","    20821.60","    20828.40","    20273.70","    20657.40","      523137587","         8317.02"
"02-Feb-2018","    20413.05","    20413.05","    19660.45","    19760.35","      658902108","         9105.62"
"05-Feb-2018","    19340.70","    19781.90","    19145.85","    19721.65","      536928887","         7750.54"
"06-Feb-2018","    18779.20","    19563.65","    18701.80","    19402.15","      546273875","         8754.00"
"07-Feb-2018","    19660.15","    19765.60","    19428.50","    19480.20","      439471747","         7276.17"
"08-Feb-2018","    19566.70","    19896.80","    19527.30","    19827.60","      437230596","         7416.72"
"09-Feb-2018","    19403.10","    19918.60","    19402.45","    19872.25","      484195630","         7599.49"
"12-Feb-2018","    20044.70","    20195.05","    20034.15","    20149.60","      447593241","         6784.30"
"14-Feb-2018","    20298.40","    20331.05","    20101.10","    20152.05","      574895217","         8590.85"
"15-Feb-2018","    20221.30","    20272.80","    19838.50","    19927.60","      559264376","         8231.56"
"16-Feb-2018","    20039.75","    20089.65","    19608.45","    19701.30","      510022094","         7983.47"
"19-Feb-2018","    19771.20","    19772.70","    19310.25","    19490.65","      547414025","         8474.10"
"20-Feb-2018","    19497.80","    19598.85","    19370.65","    19486.70","      482557652","         7399.82"
"21-Feb-2018","    19571.90","    19588.15","    19333.55","    19474.80","      386562532","         6613.73"
"22-Feb-2018","    19388.40","    19486.15","    19353.50","    19375.10","      523651715","         8469.73"
"23-Feb-2018","    19434.85","    19724.50","    19409.05","    19708.40","      426193513","         8535.30"
"26-Feb-2018","    19813.55","    19890.10","    19743.50","    19854.75","      495335937","         7348.72"
"27-Feb-2018","    19887.55","    19896.80","    19645.20","    19681.95","      559037585","         7944.42"
"28-Feb-2018","    19528.70","    19692.25","    19435.80","    19664.90","      626950607","         8548.10"
"01-Mar-2018","    19635.35","    19755.50","    19489.25","    19512.30","      486641152","         6900.29"
"05-Mar-2018","    19458.00","    19458.40","    19245.25","    19327.40","      550357691","         8111.05"
"06-Mar-2018","    19449.70","    19526.80","    19027.90","    19097.55","      527777171","         7959.08"
"07-Mar-2018","    19061.10","    19061.45","    18762.25","    18795.30","      610656186","         8104.07"
"08-Mar-2018","    18927.30","    18984.70","    18549.55","    18887.20","      578640848","         7619.94"
"09-Mar-2018","    18985.45","    19000.60","    18727.85","    18773.15","-","-"
"12-Mar-2018","    18931.20","    18979.85","    18733.95","    18960.75","      518611129","         6971.88"
"13-Mar-2018","    18938.40","    19213.95","    18912.25","    19107.65","      627439965","         8852.37"
"14-Mar-2018","    19040.25","    19202.50","    19021.95","    19183.70","      570887904","         7612.88"
"15-Mar-2018","    19218.25","    19355.55","    19213.45","    19258.85","      496720383","         7554.25"
"16-Mar-2018","    19284.25","    19330.30","    19024.70","    19055.45","      577072596","         8751.02"
"19-Mar-2018","    19110.75","    19119.20","    18700.55","    18764.35","      451414298","         6613.82"
"20-Mar-2018","    18652.00","    18873.05","    18598.60","    18836.50","      441878418","         7143.23"
"21-Mar-2018","    18941.00","    19066.20","    18856.50","    18906.75","-","-"
"22-Mar-2018","    18947.30","    18974.05","    18724.85","    18747.80","      422190067","         6459.03"
"23-Mar-2018","    18391.75","    18490.05","    18302.20","    18474.00","      503694552","         7187.81"
"26-Mar-2018","    18454.80","    18735.00","    18372.80","    18712.75","      483744874","         6965.00"
"27-Mar-2018","    18822.85","    18985.95","    18817.40","    18959.45","      452625873","         7149.79"
"28-Mar-2018","    18840.90","    18901.50","    18720.85","    18757.00","      595291724","         8167.20"
"02-Apr-2018","    18833.30","    19110.90","    18813.15","    19097.40","-","-"
"03-Apr-2018","    19054.50","    19275.45","    19046.00","    19266.05","-","-"
"04-Apr-2018","    19345.55","    19425.75","    19020.90","    19040.85","      400497328","         6332.89"
"05-Apr-2018","    19276.95","    19430.35","    19275.00","    19418.95","      315729620","         5576.48"
"06-Apr-2018","    19420.90","    19536.65","    19352.80","    19519.25","      402337684","         6038.40"
"09-Apr-2018","    19562.00","    19649.55","    19539.70","    19594.70","-","-"
"10-Apr-2018","    19671.95","    19698.75","    19552.35","    19630.95","      315130059","         5363.36"
"11-Apr-2018","    19679.75","    19683.25","    19500.65","    19633.20","      320491871","         6672.85"
"12-Apr-2018","    19620.75","    19683.35","    19515.40","    19571.55","      374222236","         5946.12"
"13-Apr-2018","    19627.85","    19738.20","    19577.00","    19676.20","      307011357","         5849.77"
