"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2016","     4891.10","     4986.55","     4882.85","     4984.60","      316021615","         1325.36"
"04-Apr-2016","     5017.85","     5027.65","     4976.15","     5018.40","      182697813","         1145.84"
"05-Apr-2016","     5004.40","     5004.40","     4903.55","     4910.70","      197965843","         1319.10"
"06-Apr-2016","     4929.90","     4988.95","     4916.35","     4982.25","      196503153","         1261.83"
"07-Apr-2016","     4997.85","     5008.25","     4941.45","     4949.05","      195392734","         1187.16"
"08-Apr-2016","     4949.55","     4993.05","     4935.85","     4988.35","      154750102","          963.16"
"11-Apr-2016","     5004.35","     5032.10","     4970.30","     5027.55","      146019291","          979.29"
"12-Apr-2016","     5047.45","     5083.05","     5047.05","     5069.40","      142175321","         1192.14"
"13-Apr-2016","     5117.75","     5150.05","     5108.20","     5115.20","      202811203","         1197.14"
"18-Apr-2016","     5123.25","     5181.05","     5090.95","     5177.35","      154467329","         1112.20"
"20-Apr-2016","     5197.00","     5229.50","     5165.30","     5218.25","      198074494","         1215.31"
"21-Apr-2016","     5243.90","     5277.10","     5192.75","     5200.65","      187245383","         1230.22"
"22-Apr-2016","     5201.65","     5234.60","     5189.85","     5212.15","      146453074","          908.67"
"25-Apr-2016","     5215.85","     5232.55","     5169.35","     5182.90","      151247643","          996.83"
"26-Apr-2016","     5185.25","     5222.30","     5166.00","     5212.40","      170563553","         1207.96"
"27-Apr-2016","     5229.30","     5254.45","     5224.70","     5244.60","      159143433","         1328.86"
"28-Apr-2016","     5254.95","     5273.20","     5181.70","     5191.10","      293071016","         1696.97"
"29-Apr-2016","     5198.55","     5229.95","     5134.55","     5201.55","      191691237","         1294.91"
"02-May-2016","     5188.05","     5229.10","     5170.85","     5225.90","      158397504","         1294.98"
"03-May-2016","     5253.15","     5286.85","     5202.35","     5207.50","      187215690","         1412.09"
"04-May-2016","     5200.25","     5203.95","     5109.00","     5117.80","      170106786","         1063.99"
"05-May-2016","     5128.15","     5157.90","     5108.05","     5114.60","      172153190","         1077.43"
"06-May-2016","     5101.90","     5131.85","     5089.05","     5106.90","      149648320","         1108.20"
"09-May-2016","     5135.00","     5210.10","     5135.00","     5204.05","      158701982","         1382.25"
"10-May-2016","     5211.50","     5230.35","     5201.00","     5208.55","      166931483","         1264.66"
"11-May-2016","     5142.70","     5203.45","     5119.40","     5183.80","      272701820","         1352.61"
"12-May-2016","     5200.80","     5239.80","     5200.80","     5234.60","      183271047","         1488.72"
"13-May-2016","     5232.90","     5268.70","     5205.00","     5216.90","      209490655","         1493.09"
"16-May-2016","     5228.25","     5242.75","     5186.35","     5221.10","      160794800","         1202.14"
"17-May-2016","     5245.40","     5280.35","     5236.30","     5254.55","      204592946","         1701.03"
"18-May-2016","     5241.70","     5287.15","     5231.15","     5283.25","      170451708","         1408.55"
"19-May-2016","     5292.60","     5319.75","     5213.75","     5220.45","      236460810","         1911.79"
"20-May-2016","     5233.75","     5246.35","     5136.90","     5150.90","      159421977","         1333.56"
"23-May-2016","     5185.15","     5191.35","     5117.60","     5121.80","      151317229","         1115.15"
"24-May-2016","     5134.35","     5135.10","     5056.20","     5081.45","      183586581","         1198.73"
"25-May-2016","     5112.00","     5147.95","     5111.70","     5128.90","      171360152","         1517.57"
