Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
118531,Franklin India Bluechip Fund- Direct - Growth,238.3444,235.961,238.3444,1-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,239.4858,237.0909,239.4858,2-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.4566,238.052,240.4566,3-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.8963,238.4873,240.8963,4-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.7371,238.3297,240.7371,7-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.9414,238.532,240.9414,8-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.8438,238.4354,240.8438,9-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.33,237.9267,240.33,10-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,239.8757,237.4769,239.8757,11-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,242.8379,240.4095,242.8379,14-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,244.1015,241.6605,244.1015,15-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,241.9948,239.5749,241.9948,16-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.8084,241.3703,243.8084,17-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.9342,241.4949,243.9342,18-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,244.28,241.8372,244.28,21-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.1905,240.7586,243.1905,22-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.7621,241.3245,243.7621,23-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,241.8229,239.4047,241.8229,24-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.6115,241.1754,243.6115,25-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,243.6142,241.1781,243.6142,28-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,242.2158,239.7936,242.2158,29-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,242.3174,239.8942,242.3174,30-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,241.5002,239.0852,241.5002,31-Jan-13
118531,Franklin India Bluechip Fund- Direct - Growth,240.8373,238.4289,240.8373,1-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,239.9897,237.5898,239.9897,4-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,238.9666,236.5769,238.9666,5-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,238.7751,236.3873,238.7751,6-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,237.9237,235.5445,237.9237,7-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,236.3821,234.0183,236.3821,8-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,236.1268,233.7655,236.1268,11-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,237.5724,235.1967,237.5724,12-Feb-13
118531,Franklin India Bluechip Fund- Direct - Growth,237.8058,235.4277,237.8058,13-Feb-13
