Scheme Code,Scheme Code,Net Asset Value,Repurchase Price,Sale Price,Date
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,29.3132,29.0201,29.3132,19-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,29.4602,29.1656,29.4602,20-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.0191,29.7189,30.0191,21-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.9043,30.5953,30.9043,22-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.7884,30.4805,30.7884,23-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.4702,30.1655,30.4702,26-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.0047,29.7047,30.0047,28-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.299,29.996,30.299,29-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.4837,30.1789,30.4837,30-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,28.9867,28.6968,28.9867,4-Feb-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,29.4384,29.144,29.4384,4-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,29.7511,29.4536,29.7511,4-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,29.8987,29.5997,29.8987,4-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.62,30.3138,30.62,4-Sep-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.6558,30.3492,30.6558,4-Oct-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.7694,30.4617,30.7694,4-Nov-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,30.5039,30.1989,30.5039,4-Dec-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,31.1932,30.8813,31.1932,13-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,31.9527,31.6332,31.9527,16-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,31.7217,31.4045,31.7217,17-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,31.9378,31.6184,31.9378,18-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,31.8265,31.5082,31.8265,19-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.5166,32.1914,32.5166,20-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.561,32.2354,32.561,23-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.0105,32.6804,33.0105,24-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.2112,32.8791,33.2112,25-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.2938,32.9609,33.2938,26-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.5406,32.2152,32.5406,27-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.5729,32.2472,32.5729,30-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.0655,32.7348,33.0655,5-Mar-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.7992,32.4712,32.7992,5-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.7477,32.4202,32.7477,5-Jul-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.4756,32.1508,32.4756,5-Aug-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.4924,32.1675,32.4924,5-Sep-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.3917,32.0678,32.3917,5-Oct-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.4691,32.1444,32.4691,5-Nov-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.9237,32.5945,32.9237,14-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,32.8115,32.4834,32.8115,15-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.2128,32.8807,33.2128,16-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.601,33.265,33.601,17-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.5596,33.224,33.5596,18-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.9236,33.5844,33.9236,21-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,34.0596,33.719,34.0596,22-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.8037,33.4657,33.8037,23-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.4758,33.141,33.4758,24-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.8193,33.4811,33.8193,25-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.884,33.5452,33.884,28-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,34.1746,33.8329,34.1746,29-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.8274,33.4891,33.8274,30-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,34.1942,33.8523,34.1942,31-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,34.207,33.8649,34.207,6-Jan-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.9662,33.6265,33.9662,6-Apr-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,34.1049,33.7639,34.1049,6-May-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.4238,33.0896,33.4238,6-Jun-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.2776,32.9448,33.2776,6-Jul-07
105067,Franklin India Index Fund- Nifty Plan - Growth Plan,33.0172,32.687,33.0172,6-Aug-07
