"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2014","     4928.80","     4932.00","     4915.95","     4921.25","      475576268","         5502.10"
"02-Jan-2014","     4922.50","     4961.45","     4842.55","     4848.95","      785294354","        11279.91"
"03-Jan-2014","     4830.15","     4857.00","     4814.85","     4850.65","      551021592","         9832.82"
"06-Jan-2014","     4858.85","     4858.85","     4829.65","     4845.05","      518164116","         9490.08"
"07-Jan-2014","     4854.65","     4868.25","     4811.45","     4820.25","      639875395","        10716.27"
"08-Jan-2014","     4832.90","     4849.00","     4822.30","     4833.55","      625371696","        11173.42"
"09-Jan-2014","     4839.40","     4844.90","     4806.25","     4820.15","      575010999","        10672.93"
"10-Jan-2014","     4828.40","     4868.45","     4798.05","     4813.95","      583498105","        12312.66"
"13-Jan-2014","     4825.10","     4877.80","     4825.10","     4869.95","      473319730","         9980.97"
"14-Jan-2014","     4861.30","     4875.95","     4844.95","     4850.75","      421986727","         8255.88"
"15-Jan-2014","     4867.15","     4902.20","     4867.15","     4899.70","      507912162","        10683.03"
"16-Jan-2014","     4913.20","     4917.20","     4882.35","     4891.40","      473078584","        10761.88"
"17-Jan-2014","     4883.45","     4896.55","     4832.95","     4841.30","      490382017","        11779.72"
"20-Jan-2014","     4840.30","     4880.00","     4833.00","     4878.25","      438477216","         9234.41"
"21-Jan-2014","     4889.90","     4900.45","     4876.70","     4886.70","      455554646","         9745.19"
"22-Jan-2014","     4884.05","     4911.15","     4872.65","     4903.95","      442713988","         9748.42"
"23-Jan-2014","     4894.25","     4909.95","     4892.55","     4903.50","      427727014","         9697.58"
"24-Jan-2014","     4875.25","     4893.20","     4835.15","     4836.70","      448549342","         9989.51"
"27-Jan-2014","     4780.95","     4780.95","     4722.45","     4725.60","      554711198","        11140.31"
"28-Jan-2014","     4723.25","     4748.30","     4694.00","     4720.60","      557172172","        11941.34"
"29-Jan-2014","     4746.05","     4756.45","     4714.10","     4720.60","      467843905","        10324.69"
"30-Jan-2014","     4680.90","     4680.90","     4645.25","     4675.10","      683730592","        13386.93"
"31-Jan-2014","     4685.30","     4714.65","     4680.35","     4709.15","      531659255","        10263.48"
"03-Feb-2014","     4690.15","     4702.00","     4643.65","     4648.55","      448706307","         9095.19"
"04-Feb-2014","     4609.80","     4662.25","     4596.05","     4652.50","      535569356","        10686.70"
"05-Feb-2014","     4656.35","     4676.25","     4632.90","     4671.85","      480236553","        10210.82"
"06-Feb-2014","     4680.55","     4695.75","     4638.05","     4681.35","      496107496","        10711.84"
