"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2006","     2465.15","     2473.70","     2456.50","     2464.25","      196860733","         4347.25"
"03-Jan-2006","     2471.80","     2504.35","     2466.70","     2502.55","      246657921","         5185.23"
"04-Jan-2006","     2514.55","     2525.95","     2508.45","     2522.55","      262104105","         5961.04"
"05-Jan-2006","     2527.65","     2531.55","     2507.70","     2525.40","      267015049","         6006.00"
"06-Jan-2006","     2534.30","     2545.40","     2510.10","     2537.30","      269778123","         6444.43"
"09-Jan-2006","     2547.65","     2550.40","     2531.55","     2540.40","      238971991","         5897.31"
"10-Jan-2006","     2540.25","     2540.25","     2508.00","     2512.05","      222932552","         5809.60"
"12-Jan-2006","     2491.75","     2514.45","     2480.05","     2502.05","      235633036","         8235.29"
"13-Jan-2006","     2506.60","     2528.00","     2499.65","     2502.75","      181264759","         5142.76"
"16-Jan-2006","     2502.70","     2503.60","     2481.35","     2486.15","      162775290","         5018.65"
"17-Jan-2006","     2493.65","     2507.75","     2468.25","     2473.65","      211479838","         8058.58"
"18-Jan-2006","     2452.45","     2469.20","     2438.45","     2455.75","      239705460","         8737.68"
"19-Jan-2006","     2472.95","     2508.70","     2472.95","     2506.30","      199369412","         5527.99"
"20-Jan-2006","     2515.00","     2537.85","     2514.35","     2529.10","      213803972","         6782.68"
"23-Jan-2006","     2516.20","     2527.70","     2510.30","     2517.75","      175659447","         4847.21"
"24-Jan-2006","     2532.00","     2542.15","     2526.05","     2532.50","      201107051","         5522.26"
"25-Jan-2006","     2543.00","     2559.10","     2533.00","     2548.60","      263499366","         7770.30"
"27-Jan-2006","     2557.95","     2591.10","     2557.95","     2587.50","      273607595","         6691.21"
"30-Jan-2006","     2598.60","     2604.15","     2563.80","     2570.15","      211496452","         5449.72"
"31-Jan-2006","     2580.30","     2592.65","     2578.20","     2585.95","      194449155","         4972.72"
"01-Feb-2006","     2593.00","     2594.50","     2552.40","     2560.55","      237235370","         6386.74"
"02-Feb-2006","     2573.80","     2581.50","     2548.95","     2559.55","      237833539","         6006.63"
"03-Feb-2006","     2553.20","     2563.95","     2543.55","     2550.20","      219798002","         5583.52"
"06-Feb-2006","     2553.55","     2593.60","     2546.10","     2588.65","      206368154","         5838.08"
"07-Feb-2006","     2599.10","     2609.55","     2584.25","     2605.35","      262868394","         6537.20"
"08-Feb-2006","     2600.50","     2608.50","     2583.35","     2603.25","      255371072","         6309.70"
"10-Feb-2006","     2612.95","     2623.70","     2611.60","     2621.40","      238852227","         6705.22"
"13-Feb-2006","     2624.10","     2635.70","     2617.90","     2634.60","      228913116","         6058.82"
"14-Feb-2006","     2642.55","     2646.10","     2612.20","     2618.00","      244301155","         7231.02"
"15-Feb-2006","     2636.30","     2642.65","     2607.55","     2624.85","      230455375","         6779.32"
"16-Feb-2006","     2633.55","     2643.10","     2622.65","     2630.25","      224496697","         6125.24"
"17-Feb-2006","     2637.85","     2643.65","     2589.85","     2593.55","      218138482","         6188.71"
"20-Feb-2006","     2594.10","     2601.45","     2563.35","     2598.95","      171517400","         4790.07"
"21-Feb-2006","     2608.15","     2625.65","     2608.15","     2620.65","      182348189","         5025.28"
"22-Feb-2006","     2625.60","     2639.40","     2621.25","     2635.85","      182111974","         4792.65"
"23-Feb-2006","     2642.50","     2656.30","     2638.20","     2640.15","      274785793","         7455.27"
"24-Feb-2006","     2648.25","     2655.00","     2635.20","     2644.95","      196570579","         4583.18"
"27-Feb-2006","     2646.95","     2662.75","     2646.95","     2660.70","      176558626","         4811.21"
"28-Feb-2006","     2673.75","     2675.40","     2622.60","     2658.95","      263303809","         7771.86"
"01-Mar-2006","     2655.00","     2700.85","     2652.45","     2698.60","      261643194","         7859.98"
"02-Mar-2006","     2715.10","     2735.25","     2708.80","     2722.00","      273687390","         8255.55"
"03-Mar-2006","     2730.90","     2738.75","     2712.65","     2724.25","      197017955","         6570.55"
"06-Mar-2006","     2731.50","     2762.70","     2731.50","     2761.05","      222345104","         6136.25"
"07-Mar-2006","     2763.70","     2771.15","     2752.60","     2767.20","      265300307","         7800.97"
"08-Mar-2006","     2769.95","     2775.90","     2710.20","     2715.00","      262851693","         8991.18"
"09-Mar-2006","     2719.55","     2728.75","     2680.50","     2726.75","      219956506","         7418.50"
"10-Mar-2006","     2744.25","     2771.30","     2744.25","     2765.85","      224951211","         6855.50"
"13-Mar-2006","     2776.95","     2797.05","     2774.10","     2780.00","      212691043","         6329.12"
"14-Mar-2006","     2788.00","     2796.40","     2764.80","     2771.15","      214174931","         6780.40"
"16-Mar-2006","     2785.25","     2791.45","     2777.55","     2789.35","      197767818","         6605.77"
"17-Mar-2006","     2802.30","     2807.95","     2784.90","     2790.05","      193043582","         6327.04"
"20-Mar-2006","     2807.95","     2813.95","     2801.10","     2812.50","      184544445","         5120.90"
"21-Mar-2006","     2809.80","     2833.20","     2798.05","     2809.40","      208303511","         6399.73"
"22-Mar-2006","     2805.40","     2812.35","     2776.30","     2789.30","      193714203","         6003.94"
"23-Mar-2006","     2802.00","     2810.85","     2781.70","     2796.90","      229428201","         6150.49"
"24-Mar-2006","     2803.95","     2824.35","     2801.10","     2821.55","      251344683","         6337.81"
"27-Mar-2006","     2828.10","     2855.95","     2828.10","     2851.75","      273961630","         6650.14"
"28-Mar-2006","     2861.30","     2868.55","     2839.75","     2844.15","      243942003","         6276.04"
"29-Mar-2006","     2854.95","     2866.95","     2848.60","     2864.40","      218730200","         5874.11"
"30-Mar-2006","     2875.35","     2909.10","     2875.35","     2901.15","      314019737","         9298.79"
"31-Mar-2006","     2903.65","     2923.15","     2884.95","     2910.35","      267473984","         8233.15"
"03-Apr-2006","     2918.60","     2977.20","     2918.60","     2974.10","      229202719","         6964.43"
"04-Apr-2006","     2988.55","     3004.10","     2968.60","     2993.00","      291314318","         7814.36"
"05-Apr-2006","     3008.10","     3023.45","     2999.10","     3022.30","      285150902","         7848.19"
"07-Apr-2006","     3048.95","     3055.40","     2969.55","     2977.50","      363162538","        11452.13"
"10-Apr-2006","     2983.75","     2998.70","     2962.50","     2994.30","      269287603","         7608.71"
"12-Apr-2006","     2996.10","     3007.10","     2914.30","     2924.25","      329525805","         9785.73"
"13-Apr-2006","     2927.20","     2927.20","     2826.80","     2884.40","      309066241","        10287.74"
"17-Apr-2006","     2924.50","     2949.25","     2911.55","     2943.90","      228751754","         7222.50"
"18-Apr-2006","     2973.70","     3007.65","     2973.70","     3005.85","      250876238","         8369.61"
"19-Apr-2006","     3030.95","     3044.45","     2994.85","     3017.65","      290371267","         8939.96"
"20-Apr-2006","     3032.75","     3040.70","     3015.25","     3038.30","      260156365","         8479.88"
"21-Apr-2006","     3049.30","     3052.65","     2996.65","     3034.75","      283949732","         9635.04"
"24-Apr-2006","     3036.60","     3045.75","     3016.60","     3024.90","      259108209","         7551.74"
"25-Apr-2006","     3024.10","     3024.10","     2954.05","     2960.30","      272611196","         7206.81"
"26-Apr-2006","     2967.40","     3037.10","     2959.85","     3032.20","      266542079","         7789.57"
"27-Apr-2006","     3048.90","     3071.45","     2996.75","     3005.35","      382431989","        14663.72"
"28-Apr-2006","     2911.45","     3021.35","     2868.25","     3014.10","      290467186","         8215.64"
"29-Apr-2006","     3037.40","     3068.55","     3037.40","     3064.70","      126620998","         3363.11"
"02-May-2006","     3093.70","     3112.00","     3089.80","     3100.70","      299561644","         8812.30"
"03-May-2006","     3100.15","     3127.80","     3084.70","     3124.20","      333867167","         8341.21"
"04-May-2006","     3139.00","     3155.90","     3113.55","     3133.20","      346075358","         9256.39"
"05-May-2006","     3140.15","     3157.20","     3125.70","     3143.10","      294828667","         7378.42"
"08-May-2006","     3166.80","     3176.60","     3156.70","     3163.25","      260108713","         6769.98"
"09-May-2006","     3177.95","     3182.90","     3134.55","     3178.80","      285794931","         7925.03"
"10-May-2006","     3194.90","     3212.40","     3192.40","     3208.85","      324221766","         8510.61"
"11-May-2006","     3223.15","     3223.15","     3159.20","     3168.65","      221032918","         6676.57"
"12-May-2006","     3137.50","     3168.80","     3120.65","     3132.35","      251561199","         7108.85"
"15-May-2006","     3120.15","     3128.85","     2993.45","     3007.80","      285089796","         8777.08"
"16-May-2006","     3010.90","     3024.90","     2881.80","     3011.85","      327681958","         9856.53"
"17-May-2006","     3054.80","     3104.70","     3054.75","     3099.80","      240123446","         7255.18"
"18-May-2006","     3061.10","     3061.10","     2874.10","     2889.05","      301693261","         9412.54"
"19-May-2006","     2960.30","     2960.30","     2740.05","     2767.75","      314856795","         9769.84"
"22-May-2006","     2794.70","     2794.70","     2439.60","     2611.30","      343047897","         8958.96"
"23-May-2006","     2612.60","     2721.95","     2538.15","     2712.35","      283287648","         7334.73"
"24-May-2006","     2736.55","     2765.50","     2648.10","     2662.55","      300027006","         8562.33"
"25-May-2006","     2625.30","     2697.65","     2591.70","     2684.60","      320426531","         9405.52"
"26-May-2006","     2724.00","     2773.15","     2705.85","     2726.45","      236506489","         6556.45"
"29-May-2006","     2725.20","     2769.75","     2719.65","     2737.55","      175807127","         4962.40"
"30-May-2006","     2747.65","     2767.25","     2711.10","     2721.80","      170366778","         5213.52"
"31-May-2006","     2636.35","     2653.95","     2556.85","     2635.25","      248048499","         7398.71"
"01-Jun-2006","     2665.75","     2680.20","     2531.50","     2548.35","      226871613","         7356.76"
"02-Jun-2006","     2554.35","     2620.70","     2511.90","     2615.75","      240721481","         6794.96"
"05-Jun-2006","     2627.50","     2638.20","     2555.55","     2559.55","      190850102","         6035.53"
"06-Jun-2006","     2488.95","     2536.55","     2472.10","     2486.75","      204478833","         6179.11"
"07-Jun-2006","     2463.20","     2491.55","     2352.55","     2384.90","      256699826","         7238.35"
"08-Jun-2006","     2354.55","     2354.55","     2209.30","     2248.80","      299668129","         7727.89"
"09-Jun-2006","     2236.80","     2382.95","     2236.80","     2376.30","      253767067","         6463.62"
"12-Jun-2006","     2372.85","     2379.45","     2302.05","     2310.80","      180884292","         4972.96"
"13-Jun-2006","     2246.80","     2246.80","     2184.90","     2201.40","      199313485","         5012.74"
"14-Jun-2006","     2226.25","     2282.55","     2137.80","     2163.95","      218891916","         6327.27"
"15-Jun-2006","     2213.50","     2307.55","     2200.70","     2299.25","      204599698","         5693.27"
"16-Jun-2006","     2362.00","     2439.50","     2362.00","     2386.25","      279676506","         8229.03"
"19-Jun-2006","     2394.25","     2429.10","     2358.30","     2418.70","      184618587","         5291.19"
"20-Jun-2006","     2397.10","     2406.45","     2363.55","     2388.85","      212529663","         5658.48"
"21-Jun-2006","     2384.55","     2446.70","     2378.50","     2442.95","      200824514","         5491.05"
"22-Jun-2006","     2491.75","     2521.45","     2491.75","     2503.50","      213174014","         5872.20"
"23-Jun-2006","     2486.95","     2540.10","     2453.55","     2529.45","      201808186","         5619.84"
