"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Nov-2015","    12747.95","    13111.90","    12712.15","    13073.80","      217157317","         3143.21"
"10-Nov-2015","    13058.05","    13091.35","    12840.30","    12851.25","      245104303","         3354.65"
"11-Nov-2015","    12959.70","    12996.85","    12959.70","    12991.45","       38423317","          430.38"
"13-Nov-2015","    12922.65","    12931.05","    12818.55","    12885.95","      195940544","         3453.01"
"16-Nov-2015","    12862.95","    12917.30","    12809.50","    12883.85","      190432089","         2948.63"
"17-Nov-2015","    12952.60","    12985.00","    12905.05","    12959.55","      177673798","         3126.05"
"18-Nov-2015","    12973.20","    13013.35","    12855.00","    12877.30","      167395604","         2853.95"
"19-Nov-2015","    12954.35","    13010.95","    12915.55","    13003.75","      166463706","         2537.85"
"20-Nov-2015","    13032.40","    13142.95","    13032.40","    13089.90","      241623290","         3845.48"
"23-Nov-2015","    13134.35","    13167.30","    13106.40","    13116.10","      157894310","         2841.33"
"24-Nov-2015","    13120.45","    13174.85","    13111.15","    13128.60","      198488354","         3317.36"
"26-Nov-2015","    13165.85","    13206.20","    13153.50","    13180.90","      284942360","         4852.45"
"27-Nov-2015","    13227.75","    13271.15","    13171.20","    13228.25","      215828212","         3315.89"
"30-Nov-2015","    13243.70","    13294.10","    13242.95","    13248.70","      390567471","         6655.42"
"01-Dec-2015","    13294.40","    13366.50","    13294.40","    13357.50","      259847985","         3608.95"
"02-Dec-2015","    13397.95","    13400.55","    13308.50","    13359.70","      185401385","         3184.79"
"03-Dec-2015","    13336.65","    13364.25","    13273.05","    13287.40","      237471342","         3829.47"
"04-Dec-2015","    13215.85","    13276.80","    13174.45","    13190.90","      265268603","         3499.76"
"07-Dec-2015","    13253.90","    13273.65","    13179.70","    13183.05","      168163663","         2704.71"
"08-Dec-2015","    13151.60","    13213.55","    13009.65","    13022.65","      197256892","         2727.46"
"09-Dec-2015","    13009.95","    13021.65","    12763.20","    12792.85","      225560664","         3425.90"
"10-Dec-2015","    12848.30","    12912.35","    12726.65","    12904.80","      209613529","         3662.38"
"11-Dec-2015","    12942.60","    12980.95","    12766.65","    12807.60","      205253371","         3478.96"
"14-Dec-2015","    12781.55","    12909.25","    12748.65","    12867.65","      171741727","         2816.19"
"15-Dec-2015","    12893.95","    12945.10","    12875.55","    12940.65","      147212629","         2547.51"
"16-Dec-2015","    13009.90","    13082.50","    12986.60","    12994.25","      206582919","         3240.82"
"17-Dec-2015","    13072.10","    13228.80","    13065.70","    13220.85","      239632067","         3879.22"
"18-Dec-2015","    13214.90","    13276.70","    13168.10","    13177.90","      225027070","         3747.68"
"21-Dec-2015","    13205.75","    13289.30","    13183.65","    13279.70","      173209888","         2597.00"
"22-Dec-2015","    13300.35","    13334.60","    13218.15","    13228.15","      188696084","         2698.55"
"23-Dec-2015","    13285.35","    13317.55","    13266.20","    13282.55","      153288809","         2454.14"
"24-Dec-2015","    13325.40","    13349.55","    13292.25","    13337.35","      162052865","         3050.66"
"28-Dec-2015","    13368.50","    13381.85","    13330.40","    13345.25","      137363799","         2264.04"
"29-Dec-2015","    13390.50","    13404.90","    13340.00","    13373.50","      153717285","         2805.76"
"30-Dec-2015","    13411.70","    13422.65","    13355.85","    13365.60","      165867075","         2755.18"
"31-Dec-2015","    13396.75","    13411.60","    13346.45","    13396.70","      302545275","         5616.08"
