"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2018","     9127.00","     9260.70","     9109.35","     9178.40","      695443716","         3445.10"
"02-Jan-2018","     9235.65","     9257.20","     9017.70","     9108.90","      659801510","         3850.65"
"03-Jan-2018","     9170.45","     9240.05","     9170.25","     9226.45","      412049856","         3525.26"
"04-Jan-2018","     9292.25","     9315.35","     9253.75","     9310.00","      434057288","         3518.60"
"05-Jan-2018","     9347.80","     9420.20","     9341.25","     9398.70","      508591629","         3874.07"
"08-Jan-2018","     9469.70","     9549.85","     9469.30","     9535.10","      379526931","         4444.54"
"09-Jan-2018","     9550.65","     9567.85","     9474.50","     9529.40","      361170992","         3814.90"
"10-Jan-2018","     9551.65","     9581.70","     9470.75","     9529.65","      482251402","         5012.45"
"11-Jan-2018","     9541.55","     9628.65","     9526.70","     9565.85","      358651761","         4192.64"
"12-Jan-2018","     9614.90","     9649.05","     9465.95","     9559.15","      395436930","         3939.82"
"15-Jan-2018","     9630.20","     9656.55","     9571.75","     9580.30","      305867194","         3161.70"
"16-Jan-2018","     9610.50","     9614.25","     9324.95","     9342.70","      365027039","         4110.71"
"17-Jan-2018","     9337.80","     9448.45","     9124.65","     9435.30","      419477066","         3970.59"
"18-Jan-2018","     9531.95","     9544.95","     9140.95","     9200.50","      392873094","         3733.62"
"19-Jan-2018","     9225.60","     9295.90","     9163.65","     9288.85","      308566255","         3230.35"
"22-Jan-2018","     9324.60","     9370.30","     9297.35","     9360.45","      398448645","         3282.39"
"23-Jan-2018","     9390.80","     9421.15","     9344.95","     9388.55","      258339802","         3299.46"
"24-Jan-2018","     9381.50","     9393.00","     9287.80","     9312.70","      289547011","         3795.54"
"25-Jan-2018","     9345.30","     9352.50","     9221.35","     9232.15","      272212525","         3332.08"
"29-Jan-2018","     9282.60","     9296.00","     9055.70","     9077.35","      241476777","         2666.73"
"30-Jan-2018","     9046.95","     9051.35","     8917.90","     8923.40","      247133202","         3154.07"
"31-Jan-2018","     8897.55","     8947.65","     8753.10","     8816.90","      214959659","         2934.15"
"01-Feb-2018","     8853.75","     8893.50","     8642.90","     8783.30","      241629473","         2926.90"
"02-Feb-2018","     8650.70","     8651.05","     8120.95","     8251.00","      487798564","         8081.11"
"05-Feb-2018","     8028.30","     8350.95","     7972.60","     8313.65","      336252898","         4760.46"
"06-Feb-2018","     7828.35","     8149.05","     7777.20","     8083.50","      325045249","         3625.67"
"07-Feb-2018","     8257.80","     8317.90","     8190.75","     8269.05","      243358352","         3087.58"
"08-Feb-2018","     8315.35","     8494.80","     8301.80","     8467.15","      269460435","         3289.34"
"09-Feb-2018","     8250.20","     8509.40","     8222.55","     8482.05","      236628916","         2706.11"
"12-Feb-2018","     8567.95","     8669.15","     8563.75","     8633.50","      237466976","         2797.19"
"14-Feb-2018","     8689.60","     8704.40","     8558.45","     8574.40","      246353430","         2650.46"
"15-Feb-2018","     8625.10","     8625.75","     8412.45","     8443.65","      209325659","         3007.05"
"16-Feb-2018","     8490.80","     8512.45","     8306.90","     8356.95","      187067463","         2522.07"
"19-Feb-2018","     8372.85","     8375.25","     8144.55","     8237.95","      207706078","         2557.55"
